char,unicode,missing_cho,missing_jung,missing_jong,missing_total,in_ref78,ink_ratio,bbox_fill,edge_density,n_components,psnr,ssim
걠,U+AC60,0,0,0,0,0,0.14801025390625,0.6875,0.16217041015625,5,nan,nan
걡,U+AC61,0,0,0,0,0,0.14874267578125,0.78125,0.1756591796875,11,nan,nan
걢,U+AC62,0,0,1,1,0,0.14739990234375,0.71875,0.16851806640625,13,nan,nan
걣,U+AC63,0,0,0,0,0,0.160888671875,0.6953125,0.173828125,7,nan,nan
걤,U+AC64,0,0,0,0,0,0.15045166015625,0.8359375,0.15478515625,7,nan,nan
걥,U+AC65,0,0,0,0,0,0.135009765625,0.765625,0.1416015625,8,nan,nan
걦,U+AC66,0,0,0,0,0,0.1651611328125,0.7109375,0.15338134765625,6,nan,nan
걧,U+AC67,0,0,0,0,0,0.122802734375,0.6591796875,0.1280517578125,3,nan,nan
걨,U+AC68,0,0,0,0,0,0.148193359375,0.6953125,0.1416015625,5,nan,nan
걩,U+AC69,0,0,0,0,0,0.15234375,0.65625,0.12481689453125,4,nan,nan
걪,U+AC6A,0,0,1,1,0,0.12841796875,0.8203125,0.13885498046875,15,nan,nan
걫,U+AC6B,0,0,0,0,0,0.1348876953125,0.8125,0.14715576171875,6,nan,nan
걬,U+AC6C,0,0,1,1,0,0.14556884765625,0.75,0.16650390625,11,nan,nan
걭,U+AC6D,0,0,1,1,0,0.166259765625,0.68988037109375,0.1629638671875,3,nan,nan
걮,U+AC6E,0,0,0,0,0,0.1553955078125,0.8515625,0.16766357421875,7,nan,nan
걯,U+AC6F,0,0,0,0,0,0.1478271484375,0.65625,0.13397216796875,6,nan,nan
거,U+AC70,0,0,0,0,0,0.09295654296875,0.5380859375,0.0877685546875,5,nan,nan
걱,U+AC71,0,0,0,0,0,0.11871337890625,0.6103515625,0.10125732421875,1,nan,nan
걲,U+AC72,0,0,1,1,0,0.12762451171875,0.6031494140625,0.109130859375,3,nan,nan
걳,U+AC73,0,0,0,0,0,0.121826171875,0.65625,0.11334228515625,4,nan,nan
건,U+AC74,0,0,0,0,0,0.10797119140625,0.796875,0.09613037109375,3,nan,nan
걵,U+AC75,0,0,1,1,0,0.125,0.7421875,0.1280517578125,3,nan,nan
걶,U+AC76,0,0,1,1,0,0.13446044921875,0.6796875,0.129150390625,5,nan,nan
걷,U+AC77,0,0,1,1,0,0.11822509765625,0.625,0.111572265625,2,nan,nan
걸,U+AC78,0,0,0,0,0,0.14276123046875,0.6015625,0.137939453125,3,nan,nan
걹,U+AC79,0,0,0,0,0,0.14208984375,0.78125,0.15374755859375,6,nan,nan
걺,U+AC7A,0,0,0,0,0,0.167724609375,0.703125,0.16900634765625,8,nan,nan
걻,U+AC7B,0,0,0,0,0,0.15228271484375,0.6201171875,0.15594482421875,8,nan,nan
걼,U+AC7C,0,0,0,0,0,0.1505126953125,0.7421875,0.1427001953125,4,nan,nan
걽,U+AC7D,0,0,0,0,0,0.1563720703125,0.734375,0.15667724609375,7,nan,nan
걾,U+AC7E,0,0,1,1,0,0.16107177734375,0.7109375,0.16253662109375,2,nan,nan
걿,U+AC7F,0,0,0,0,0,0.18048095703125,0.65625,0.1661376953125,4,nan,nan
검,U+AC80,0,0,0,0,0,0.13482666015625,0.6171875,0.1142578125,3,nan,nan
겁,U+AC81,0,0,0,0,0,0.12249755859375,0.59375,0.11383056640625,3,nan,nan
겂,U+AC82,0,0,0,0,0,0.1268310546875,0.6484375,0.13177490234375,6,nan,nan
것,U+AC83,0,0,0,0,0,0.1209716796875,0.6103515625,0.10394287109375,2,nan,nan
겄,U+AC84,0,0,0,0,0,0.130615234375,0.671875,0.12060546875,4,nan,nan
겅,U+AC85,0,0,0,0,0,0.1287841796875,0.556640625,0.08843994140625,2,nan,nan
겆,U+AC86,0,0,1,1,0,0.1221923828125,0.6103515625,0.109130859375,2,nan,nan
겇,U+AC87,0,0,0,0,0,0.117431640625,0.6171875,0.12396240234375,5,nan,nan
겈,U+AC88,0,0,1,1,0,0.115478515625,0.5767822265625,0.109619140625,2,nan,nan
겉,U+AC89,0,0,1,1,0,0.147705078125,0.5703125,0.1278076171875,2,nan,nan
겊,U+AC8A,0,0,0,0,0,0.12530517578125,0.6796875,0.13787841796875,7,nan,nan
겋,U+AC8B,0,0,0,0,0,0.1190185546875,0.744140625,0.10333251953125,5,nan,nan
게,U+AC8C,0,0,0,0,0,0.105712890625,0.59619140625,0.105712890625,4,nan,nan
겍,U+AC8D,0,0,0,0,0,0.10980224609375,0.6075439453125,0.11639404296875,5,nan,nan
겎,U+AC8E,0,0,1,1,0,0.13671875,0.625,0.13214111328125,5,nan,nan
겏,U+AC8F,0,0,0,0,0,0.1346435546875,0.734375,0.135009765625,5,nan,nan
겐,U+AC90,0,0,0,0,0,0.12615966796875,0.6953125,0.12982177734375,8,nan,nan
겑,U+AC91,0,0,1,1,0,0.155029296875,0.744140625,0.15185546875,8,nan,nan
겒,U+AC92,0,0,1,1,0,0.15985107421875,0.6953125,0.1605224609375,9,nan,nan
겓,U+AC93,0,0,1,1,0,0.1346435546875,0.613037109375,0.130126953125,5,nan,nan
겔,U+AC94,0,0,0,0,0,0.161376953125,0.609375,0.143798828125,5,nan,nan
겕,U+AC95,0,0,0,0,0,0.14434814453125,0.6171875,0.1624755859375,7,nan,nan
겖,U+AC96,0,0,0,0,0,0.15130615234375,0.70538330078125,0.18011474609375,8,nan,nan
겗,U+AC97,0,0,0,0,0,0.15234375,0.6171875,0.17620849609375,7,nan,nan
겘,U+AC98,0,0,0,0,0,0.16778564453125,0.734375,0.16595458984375,6,nan,nan
겙,U+AC99,0,0,0,0,0,0.14691162109375,0.859375,0.16949462890625,13,nan,nan
겚,U+AC9A,0,0,1,1,0,0.14898681640625,0.734375,0.167236328125,7,nan,nan
겛,U+AC9B,0,0,0,0,0,0.18914794921875,0.6484375,0.16986083984375,9,nan,nan
겜,U+AC9C,0,0,0,0,0,0.14288330078125,0.855224609375,0.14990234375,6,nan,nan
겝,U+AC9D,0,0,0,0,0,0.13250732421875,0.54986572265625,0.12603759765625,3,nan,nan
겞,U+AC9E,0,0,0,0,0,0.1490478515625,0.7781982421875,0.154541015625,7,nan,nan
겟,U+AC9F,0,0,0,0,0,0.1427001953125,0.6456298828125,0.123779296875,3,nan,nan
겠,U+ACA0,0,0,0,0,0,0.149658203125,0.67437744140625,0.14141845703125,3,nan,nan
겡,U+ACA1,0,0,0,0,0,0.16119384765625,0.7109375,0.1217041015625,6,nan,nan
겢,U+ACA2,0,0,1,1,0,0.1444091796875,0.65625,0.139404296875,2,nan,nan
겣,U+ACA3,0,0,0,0,0,0.14044189453125,0.640625,0.139892578125,5,nan,nan
겤,U+ACA4,0,0,1,1,0,0.1124267578125,0.65887451171875,0.14056396484375,12,nan,nan
겥,U+ACA5,0,0,1,1,0,0.153564453125,0.76904296875,0.14776611328125,7,nan,nan
겦,U+ACA6,0,0,0,0,0,0.155517578125,0.671875,0.1534423828125,4,nan,nan
겧,U+ACA7,0,0,0,0,0,0.13702392578125,0.6015625,0.115234375,3,nan,nan
겨,U+ACA8,0,0,0,0,1,0.10223388671875,0.7921142578125,0.093994140625,2,25.641364354124732,0.9669133904624323
격,U+ACA9,0,0,0,0,0,0.11920166015625,0.65625,0.120361328125,4,nan,nan
겪,U+ACAA,0,0,1,1,0,0.1246337890625,0.703125,0.12579345703125,6,nan,nan
겫,U+ACAB,0,0,0,0,0,0.12841796875,0.6976318359375,0.12750244140625,3,nan,nan
견,U+ACAC,0,0,0,0,0,0.1041259765625,0.6640625,0.09942626953125,3,nan,nan
겭,U+ACAD,0,0,1,1,0,0.141845703125,0.73638916015625,0.13800048828125,3,nan,nan
겮,U+ACAE,0,0,1,1,0,0.130615234375,0.7109375,0.1392822265625,5,nan,nan
겯,U+ACAF,0,0,1,1,0,0.11260986328125,0.734375,0.12530517578125,7,nan,nan
결,U+ACB0,0,0,0,0,0,0.1474609375,0.65625,0.14337158203125,5,nan,nan
겱,U+ACB1,0,0,0,0,0,0.14678955078125,0.6875,0.14825439453125,8,nan,nan
겲,U+ACB2,0,0,0,0,0,0.1549072265625,0.8046875,0.1571044921875,5,nan,nan
겳,U+ACB3,0,0,0,0,0,0.149658203125,0.6875,0.1639404296875,5,nan,nan
겴,U+ACB4,0,0,0,0,0,0.16156005859375,0.734375,0.15496826171875,3,nan,nan
겵,U+ACB5,0,0,0,0,0,0.15020751953125,0.765625,0.1640625,8,nan,nan
겶,U+ACB6,0,0,1,1,0,0.13421630859375,0.6796875,0.14593505859375,7,nan,nan
겷,U+ACB7,0,0,0,0,0,0.148681640625,0.65625,0.159423828125,5,nan,nan
겸,U+ACB8,0,0,0,0,0,0.126953125,0.65887451171875,0.1241455078125,4,nan,nan
겹,U+ACB9,0,0,0,0,0,0.13787841796875,0.6953125,0.12982177734375,4,nan,nan
겺,U+ACBA,0,0,0,0,0,0.130615234375,0.6953125,0.13677978515625,5,nan,nan
겻,U+ACBB,0,0,0,0,0,0.1236572265625,0.7906494140625,0.1146240234375,8,nan,nan
겼,U+ACBC,0,0,0,0,0,0.1390380859375,0.713134765625,0.129638671875,3,nan,nan
경,U+ACBD,0,0,0,0,0,0.1492919921875,0.703125,0.10125732421875,5,nan,nan
겾,U+ACBE,0,0,1,1,0,0.13128662109375,0.6640625,0.12481689453125,3,nan,nan
겿,U+ACBF,0,0,0,0,0,0.14495849609375,0.78125,0.139892578125,4,nan,nan
곀,U+ACC0,0,0,1,1,0,0.12939453125,0.71875,0.12396240234375,4,nan,nan
곁,U+ACC1,0,0,1,1,0,0.14373779296875,0.7459716796875,0.14923095703125,4,nan,nan
곂,U+ACC2,0,0,0,0,0,0.13531494140625,0.6953125,0.1396484375,5,nan,nan
곃,U+ACC3,0,0,0,0,0,0.133544921875,0.625,0.1295166015625,4,nan,nan
계,U+ACC4,0,0,0,0,0,0.10791015625,0.68084716796875,0.10992431640625,5,nan,nan
곅,U+ACC5,0,0,0,0,0,0.129638671875,0.703125,0.12835693359375,6,nan,nan
곆,U+ACC6,0,0,1,1,0,0.13800048828125,0.7421875,0.13641357421875,4,nan,nan
곇,U+ACC7,0,0,0,0,0,0.13555908203125,0.68988037109375,0.14471435546875,7,nan,nan
