char,unicode,missing_cho,missing_jung,missing_jong,missing_total,in_ref78,ink_ratio,bbox_fill,edge_density,n_components,psnr,ssim
쎦,U+C3A6,0,0,1,1,0,0.14923095703125,0.6561279296875,0.15167236328125,6,nan,nan
쎧,U+C3A7,0,0,1,1,0,0.14556884765625,0.73638916015625,0.13818359375,7,nan,nan
쎨,U+C3A8,0,0,0,0,0,0.15179443359375,0.7265625,0.13995361328125,8,nan,nan
쎩,U+C3A9,0,0,0,0,0,0.15545654296875,0.6666259765625,0.15673828125,6,nan,nan
쎪,U+C3AA,0,0,0,0,0,0.172607421875,0.8125,0.176025390625,8,nan,nan
쎫,U+C3AB,0,0,0,0,0,0.16998291015625,0.6875,0.1778564453125,5,nan,nan
쎬,U+C3AC,0,0,0,0,0,0.176513671875,0.8216552734375,0.1617431640625,7,nan,nan
쎭,U+C3AD,0,0,0,0,0,0.16900634765625,0.72088623046875,0.16754150390625,6,nan,nan
쎮,U+C3AE,0,0,1,1,0,0.1708984375,0.7578125,0.17694091796875,4,nan,nan
쎯,U+C3AF,0,0,0,0,0,0.17755126953125,0.722900390625,0.1717529296875,5,nan,nan
쎰,U+C3B0,0,0,0,0,0,0.1434326171875,0.640869140625,0.13543701171875,4,nan,nan
쎱,U+C3B1,0,0,0,0,0,0.1513671875,0.671875,0.13629150390625,6,nan,nan
쎲,U+C3B2,0,0,0,0,0,0.15716552734375,0.6866455078125,0.1453857421875,5,nan,nan
쎳,U+C3B3,0,0,0,0,0,0.14923095703125,0.6646728515625,0.1243896484375,3,nan,nan
쎴,U+C3B4,0,0,0,0,0,0.16815185546875,0.70751953125,0.1407470703125,5,nan,nan
쎵,U+C3B5,0,0,0,0,0,0.15887451171875,0.6767578125,0.1168212890625,5,nan,nan
쎶,U+C3B6,0,0,1,1,0,0.1461181640625,0.640380859375,0.1329345703125,5,nan,nan
쎷,U+C3B7,0,0,0,0,0,0.15460205078125,0.68212890625,0.139892578125,4,nan,nan
쎸,U+C3B8,0,0,1,1,0,0.14031982421875,0.703125,0.1263427734375,4,nan,nan
쎹,U+C3B9,0,0,1,1,0,0.1595458984375,0.6690673828125,0.1431884765625,6,nan,nan
쎺,U+C3BA,0,0,0,0,0,0.14990234375,0.671875,0.13995361328125,5,nan,nan
쎻,U+C3BB,0,0,0,0,0,0.1456298828125,0.6976318359375,0.13409423828125,5,nan,nan
쎼,U+C3BC,0,0,0,0,0,0.143798828125,0.61572265625,0.12664794921875,2,nan,nan
쎽,U+C3BD,0,0,0,0,0,0.15264892578125,0.7734375,0.14697265625,5,nan,nan
쎾,U+C3BE,0,0,1,1,0,0.15814208984375,0.7578125,0.1519775390625,7,nan,nan
쎿,U+C3BF,0,0,0,0,0,0.16925048828125,0.75189208984375,0.15386962890625,4,nan,nan
쏀,U+C3C0,0,0,0,0,1,0.15667724609375,0.734375,0.14013671875,4,23.223058997730064,0.9552020172896141
쏁,U+C3C1,0,0,1,1,0,0.17913818359375,0.753662109375,0.17181396484375,6,nan,nan
쏂,U+C3C2,0,0,1,1,0,0.1832275390625,0.76904296875,0.17193603515625,8,nan,nan
쏃,U+C3C3,0,0,1,1,0,0.1636962890625,0.7578125,0.15228271484375,6,nan,nan
쏄,U+C3C4,0,0,0,0,0,0.1810302734375,0.7421875,0.1724853515625,5,nan,nan
쏅,U+C3C5,0,0,0,0,0,0.178466796875,0.734375,0.19036865234375,6,nan,nan
쏆,U+C3C6,0,0,0,0,0,0.18304443359375,0.713134765625,0.19525146484375,8,nan,nan
쏇,U+C3C7,0,0,0,0,0,0.1751708984375,0.744140625,0.18231201171875,8,nan,nan
쏈,U+C3C8,0,0,0,0,0,0.1839599609375,0.7734375,0.17645263671875,5,nan,nan
쏉,U+C3C9,0,0,0,0,0,0.1817626953125,0.7476806640625,0.20245361328125,7,nan,nan
쏊,U+C3CA,0,0,1,1,0,0.1866455078125,0.7476806640625,0.18853759765625,8,nan,nan
