step,value
500,2.112128734588623
1000,1.600182294845581
1500,0.691749632358551
2000,0.5659224987030029
2500,0.45664381980895996
3000,0.7327067852020264
3500,0.5459691286087036
4000,0.5630492568016052
4500,0.8320009112358093
5000,0.816177248954773
5500,0.24833954870700836
6000,0.7523177862167358
6500,0.644444465637207
7000,0.3485594689846039
7500,0.5570153594017029
8000,0.2935731112957001
8500,0.279669851064682
9000,0.6945747137069702
9500,0.24985292553901672
10000,0.5700540542602539
10500,0.5911036133766174
11000,0.29780662059783936
11500,0.7571508884429932
12000,0.4015701711177826
12500,0.5393755435943604
13000,0.5588083863258362
13500,0.44043245911598206
14000,0.3984604477882385
14500,0.41861826181411743
15000,0.6705207228660583
15500,0.3621809482574463
16000,0.36565855145454407
16500,0.43032389879226685
17000,0.5468278527259827
17500,0.39228153228759766
18000,0.25331950187683105
18500,0.7613123655319214
19000,0.8614633083343506
19500,0.46909233927726746
20000,0.3755609393119812
20500,0.2587854862213135
21000,0.19216206669807434
21500,0.6866266131401062
22000,0.23500066995620728
22500,0.5641026496887207
23000,0.4403727948665619
23500,0.20647495985031128
24000,0.552903413772583
24500,0.4294414520263672
25000,0.6254723072052002
25500,0.5224376916885376
26000,0.5182103514671326
26500,0.36952757835388184
27000,0.3945382833480835
27500,0.3034225106239319
28000,0.22441574931144714
28500,0.8024235367774963
29000,0.47289901971817017
29500,0.5538642406463623
30000,0.45668289065361023
30500,0.5513620376586914
31000,0.7633323669433594
31500,0.7159649133682251
32000,0.6123610734939575
32500,0.3049537241458893
33000,0.5175503492355347
33500,0.6458829045295715
34000,0.3050217032432556
34500,0.7328791618347168
35000,0.3863510191440582
35500,0.38106873631477356
36000,0.4373013377189636
36500,0.3467497229576111
37000,0.5576068162918091
37500,0.5172048807144165
38000,1.2978200912475586
38500,0.5703845620155334
39000,0.43484342098236084
39500,0.7039260268211365
40000,0.2393428385257721
40500,0.3803536295890808
41000,0.21105974912643433
41500,0.6372593641281128
