step,value
1000,0.37767666578292847
2000,0.39770758152008057
3000,0.3984035849571228
4000,0.3935331106185913
5000,0.3918847143650055
6000,0.39072418212890625
7000,0.392931193113327
8000,0.3901815414428711
9000,0.3910157382488251
10000,0.3914165198802948
11000,0.3923508822917938
12000,0.39091524481773376
13000,0.3874978721141815
14000,0.3887680470943451
15000,0.38855016231536865
16000,0.38683879375457764
17000,0.39035263657569885
18000,0.3889213502407074
19000,0.38669154047966003
20000,0.3906753659248352
21000,0.391597718000412
22000,0.3905493915081024
23000,0.3912501037120819
24000,0.3894551992416382
25000,0.3910163938999176
26000,0.3887121379375458
27000,0.3898356258869171
28000,0.3901546895503998
29000,0.38848555088043213
30000,0.3895186483860016
31000,0.3889705538749695
32000,0.3886960446834564
33000,0.3912076950073242
34000,0.38964787125587463
35000,0.3933523893356323
36000,0.3924250900745392
37000,0.3906960189342499
38000,0.3902551531791687
39000,0.39225059747695923
40000,0.3916930556297302
41000,0.3916172683238983
