step,value
1000,0.32581627368927
2000,0.3474397659301758
3000,0.34813806414604187
4000,0.3497869074344635
5000,0.35065916180610657
6000,0.34695520997047424
7000,0.3486059010028839
8000,0.3480973243713379
9000,0.347239226102829
10000,0.34870344400405884
11000,0.3494674563407898
12000,0.3487008213996887
13000,0.3486356735229492
14000,0.3461165428161621
15000,0.35078179836273193
16000,0.3486526608467102
17000,0.34599819779396057
18000,0.3454448878765106
19000,0.3469146192073822
20000,0.3488052487373352
21000,0.35148540139198303
22000,0.3493712842464447
23000,0.351669043302536
24000,0.3503273129463196
25000,0.35095149278640747
26000,0.34997299313545227
27000,0.3514517545700073
28000,0.34986579418182373
29000,0.34734758734703064
30000,0.3499951660633087
31000,0.34914061427116394
32000,0.34813112020492554
33000,0.3470272123813629
34000,0.3466006815433502
35000,0.34906911849975586
36000,0.3471095860004425
37000,0.3481239378452301
38000,0.3482123017311096
39000,0.3491278886795044
40000,0.3479946553707123
41000,0.35080668330192566
