step,value
49,1.6404937505722046
99,0.9149056673049927
149,1.6173399686813354
199,1.2674601078033447
249,0.9481391310691833
299,0.9454377889633179
349,0.9062035083770752
399,1.6232529878616333
449,6.627944469451904
499,4.858492374420166
549,3.977717876434326
599,2.2917351722717285
649,4.4987077713012695
699,4.988269329071045
749,2.6809067726135254
799,1.6897462606430054
849,2.7903940677642822
899,2.150158643722534
949,2.210026264190674
999,3.0349481105804443
1049,1.996100902557373
1099,1.7626756429672241
1149,1.3915224075317383
1199,2.2340610027313232
1249,1.6363900899887085
1299,1.4158309698104858
1349,1.4374890327453613
1399,1.16513991355896
1449,1.1116379499435425
1499,1.47556734085083
1549,1.0263417959213257
1599,1.4311319589614868
1649,0.9710032343864441
1699,0.944357693195343
1749,0.9442805051803589
1799,0.9549561738967896
1849,0.9548961520195007
1899,1.0197880268096924
1949,0.765986442565918
1999,0.793769896030426
2049,0.8128218650817871
2099,0.7014541029930115
2149,0.8645064234733582
2199,0.704103946685791
2249,0.6414598226547241
2299,0.605635404586792
2349,0.5690768361091614
2399,0.6202859878540039
2449,0.5991878509521484
2499,0.5102456212043762
2549,0.4545225501060486
2599,0.57132887840271
2649,0.37868285179138184
2699,0.4439387321472168
2749,0.41587597131729126
2799,0.4244042634963989
2849,0.4010155200958252
2899,0.38435643911361694
2949,0.32724612951278687
2999,0.34509986639022827
3049,0.3205966353416443
3099,0.2914661169052124
3149,0.2755228579044342
3199,0.27648597955703735
3249,0.2736774682998657
3299,0.27570095658302307
3349,0.2548781931400299
3399,0.2511023283004761
3449,0.2367071658372879
3499,0.2492215931415558
3549,0.22323685884475708
3599,0.2203887403011322
3649,0.20865516364574432
3699,0.19050054252147675
3749,0.21789099276065826
3799,0.21286964416503906
3849,0.20457321405410767
3899,0.1801169514656067
3949,0.19861933588981628
3999,0.2128383368253708
4049,0.18644005060195923
4099,0.18076848983764648
4149,0.19360828399658203
4199,0.16575416922569275
4249,0.17439186573028564
4299,0.18956932425498962
4349,0.16086116433143616
4399,0.18852870166301727
4449,0.16119186580181122
4499,0.16197985410690308
4549,0.16459202766418457
4599,0.16342249512672424
4649,0.16636021435260773
4699,0.15728938579559326
4749,0.14890322089195251
4799,0.15642616152763367
4849,0.14664316177368164
4899,0.16154327988624573
4949,0.131035715341568
4999,0.13622349500656128
5049,0.2570466995239258
5099,0.2902449071407318
5149,0.028501100838184357
5199,0.21119996905326843
5249,-0.051155559718608856
5299,0.15772990882396698
5349,-0.08528251945972443
5399,-0.14279714226722717
5449,0.49197304248809814
5499,1.120011568069458
5549,0.3203147053718567
5599,0.3713662624359131
5649,0.24003645777702332
5699,-0.03557763621211052
5749,-0.25398868322372437
5799,-0.5564476251602173
5849,0.007041726261377335
5899,1.2045774459838867
5949,-0.6897152662277222
5999,-0.5268682241439819
6049,-0.957831859588623
6099,-0.11221341043710709
6149,0.6137359738349915
6199,-0.18608829379081726
6249,-3.707266330718994
6299,0.8951485753059387
6349,0.966488778591156
6399,-0.574975311756134
6449,-0.13268494606018066
6499,-0.8667421936988831
6549,0.6237421035766602
6599,-0.6122156381607056
6649,-0.6359059810638428
6699,0.27469444274902344
