step,value
5209,1.419954776763916
10419,3.0396742820739746
15629,0.33396995067596436
20839,0.2697562873363495
26049,0.1509094387292862
31259,0.08014512062072754
36469,0.030809637159109116
41679,0.01289345696568489
46889,0.008138298988342285
52099,0.0061433096416294575
57309,0.005037237890064716
62519,0.004219265654683113
67729,0.003777453675866127
72939,0.003332652850076556
78149,0.0029840583447366953
83359,0.002781278919428587
88569,0.0025178666692227125
93779,0.0023277674335986376
98989,0.002191127510741353
104199,0.002057587495073676
109409,0.0019438379677012563
114619,0.001852621790021658
119829,0.0017384764505550265
125039,0.001677212305366993
130249,0.0016086117830127478
135459,0.0015604953514412045
140669,0.0014881783863529563
145879,0.0014169813366606832
151089,0.0013578260550275445
156299,0.0013287863694131374
161509,0.0013053118018433452
166719,0.0012434842064976692
171929,0.001198442536406219
177139,0.001156836049631238
182349,0.0011369267012923956
187559,0.001109867705963552
192769,0.001073267194442451
197979,0.0010458527831360698
203189,0.0010285477619618177
208399,0.000999436597339809
213609,0.0009565944783389568
218819,0.0009556151926517487
224029,0.0009160925983451307
229239,0.0008952252101153135
234449,0.00088615866843611
239659,0.0008459420641884208
244869,0.0008293696446344256
250079,0.0008088533068075776
255289,0.0007971931481733918
260499,0.0007890849374234676
265709,0.0007728827768005431
270919,0.0007443406502716243
276129,0.0007288865745067596
281339,0.0007298417622223496
286549,0.0007052914588712156
291759,0.000695008144248277
296969,0.0006722481339238584
302179,0.0006781007396057248
307389,0.0006561388145200908
312599,0.0006464000325649977
317809,0.0006329606985673308
323019,0.0006135913426987827
328229,0.0006159651675261557
333439,0.0006002255831845105
338649,0.0005921530537307262
343859,0.0005916710942983627
349069,0.0005659015732817352
354279,0.0005546787288039923
359489,0.00054786482360214
364699,0.0005462092231027782
369909,0.0005436023930087686
375119,0.0005219485610723495
380329,0.0005117765977047384
385539,0.0005152305238880217
390749,0.0005039601237513125
395959,0.0005026125581935048
401169,0.00048269875696860254
406379,0.00048659424646757543
411589,0.00048212113324552774
416799,0.0004632135387510061
422009,0.0004539441433735192
427219,0.0004567137802951038
432429,0.0004463601508177817
437639,0.0004422867204993963
442849,0.0004260808345861733
448059,0.0004303151508793235
453269,0.0004305533366277814
458479,0.0004180310934316367
463689,0.00041487542330287397
468899,0.00041652293293736875
474109,0.00041071861051023006
479319,0.0004105498956050724
484529,0.0004098965146113187
489739,0.00039729391573928297
494949,0.00039350774022750556
500159,0.000391038745874539
505369,0.00038957130163908005
510579,0.0003837903786916286
515789,0.0003787001478485763
520999,0.0003792857169173658
526209,0.00037780305137857795
531419,0.00037199739017523825
536629,0.00036797148641198874
541839,0.00036312927841208875
547049,0.00035499295336194336
552259,0.0003509269736241549
557469,0.00035227628541179
562679,0.0003512337862048298
567889,0.00034534186124801636
573099,0.00033700105268508196
578309,0.0003367374010849744
583519,0.0003391168429516256
588729,0.00033869099570438266
593939,0.00033519291901029646
599149,0.00032818259205669165
604359,0.0003307748702354729
609569,0.00033036951208487153
614779,0.00032818771433085203
619989,0.0003298744559288025
625199,0.0003132754354737699
630409,0.00031429933733306825
635619,0.00031297013629227877
640829,0.00031615071929991245
646039,0.0003197197802364826
651249,0.0003080506285186857
656459,0.0003142529749311507
661669,0.00031140266219154
666879,0.0003099713067058474
672089,0.0003066456411033869
677299,0.00030289095593616366
682509,0.0002992826048284769
687719,0.0002930650662165135
692929,0.0002934192307293415
698139,0.00029136697412468493
703349,0.00029534276109188795
708559,0.0002874959900509566
713769,0.0002847927971743047
718979,0.00028488761745393276
724189,0.00028784407186321914
729399,0.00028700404800474644
734609,0.0002784946118481457
739819,0.0002836895000655204
745029,0.00028047902742400765
750239,0.0002772010338958353
755449,0.00027657306054607034
760659,0.0002744633820839226
765869,0.00027020135894417763
771079,0.00027325082919560373
776289,0.00027052327641285956
781499,0.00027510247309692204
786709,0.00026685354532673955
791919,0.00026763425557874143
797129,0.00026734391576610506
802339,0.000269519368885085
807549,0.0002676229050848633
812759,0.00026480594533495605
817969,0.00025708539760671556
823179,0.00025082461070269346
828389,0.0002598093415144831
833599,0.0002589774667285383
838809,0.00025426209322176874
844019,0.00025512484717182815
849229,0.00025546038523316383
854439,0.000247464602580294
859649,0.0002497411333024502
864859,0.0002414893388049677
870069,0.00024587358348071575
875279,0.00024113083782140166
880489,0.00024366470461245626
885699,0.00023444740509148687
890909,0.0002384025283390656
896119,0.0002358099154662341
901329,0.00023492258333135396
906539,0.0002318575861863792
911749,0.00023018727370072156
916959,0.0002328114496776834
922169,0.00022942257055547088
927379,0.00022629527666140348
932589,0.0002280500193592161
937799,0.0002253135753562674
943009,0.00022297132818493992
948219,0.00022234422795008868
953429,0.00021966166968923062
958639,0.00022072646243032068
963849,0.00021618319442495704
969059,0.0002184401819249615
974269,0.00021154875867068768
979479,0.0002113307564286515
984689,0.0002088066830765456
989899,0.0002162376040359959
995109,0.00020815050811506808
1000319,0.00020881004456896335
