group,count,ink_ratio_mean,ink_ratio_std,ink_ratio_count,bbox_fill_mean,bbox_fill_std,bbox_fill_count,edge_density_mean,edge_density_std,edge_density_count,psnr_mean,psnr_std,psnr_count,ssim_mean,ssim_std,ssim_count
horizontal_jong,4617,0.14010197749147174,0.023403825552950543,4617,0.6699379368832237,0.0831861548484852,4617,0.1437908302325306,0.025061715859569674,4617,19.24857050750151,6.9270686865242155,39,0.8309449152253142,0.1846723962563429,39
horizontal_noJong,171,0.10424055132949561,0.020035649989113596,171,0.5395154451069079,0.11493946262176143,171,0.10206470154879387,0.019133619376322124,171,23.12767046826244,5.615978102537247,6,0.9209542355845012,0.09870744663681309,6
mixed_jong,3591,0.1563058001720882,0.023503196924086006,3591,0.6723000875126184,0.07663891379325902,3591,0.15889963284404587,0.02485010407595627,3591,19.45431325732134,6.7749605928378465,10,0.8329625815613773,0.17764539503482407,10
mixed_noJong,133,0.11728983714168233,0.020738334589156034,133,0.5109032652431861,0.08419263356238627,133,0.11529541015625,0.02124721052199846,133,9.12206349762242,0.0,1,0.6252698844795223,0.0,1
vertical_jong,2565,0.1438153421204922,0.026626447984534386,2565,0.6812563295717593,0.08988684324529617,2565,0.14244453772234406,0.026971505307321855,2565,20.749291229072966,4.999932494493817,19,0.8971592950450609,0.09399997890469675,19
vertical_noJong,95,0.09575259560032895,0.022140662464879172,95,0.5176712839226973,0.11326490510767119,95,0.09098221628289474,0.020146064847207327,95,19.81072412497964,7.854573553476939,3,0.8313819095512596,0.17488936491853393,3
