group,count,ink_ratio_mean,ink_ratio_std,ink_ratio_count,bbox_fill_mean,bbox_fill_std,bbox_fill_count,edge_density_mean,edge_density_std,edge_density_count,psnr_mean,psnr_std,psnr_count,ssim_mean,ssim_std,ssim_count
horizontal,4788,0.13882121227140115,0.024224023976605294,4788,0.6652799907483553,0.087922832880054,4788,0.14230061135096858,0.02605173656800712,4788,19.765783835602967,6.8942307105179665,45,0.8429461579398725,0.1783030845411888,45
mixed,3724,0.1549123729210023,0.024504201650811505,3724,0.66653591528871,0.08254698631796106,3724,0.1573423391766246,0.026020675001625877,3724,18.515017824621438,7.1098603773086335,11,0.8140814272812086,0.17959389601275813,11
vertical,2660,0.1420988154590578,0.02794117821615595,2660,0.6754140065128642,0.09576453509540425,2660,0.14060659767093514,0.028410967736139648,2660,20.62130480578751,5.486978404483926,22,0.8881896515686336,0.1109571556891007,22
