char,unicode,has_jongseong,jung_shape,structure_class,in_ref78,ink_ratio,bbox_fill,edge_density,psnr,ssim
같,U+AC19,1,horizontal,horizontal_jong,0,0.1151123046875,0.75,0.1217041015625,nan,nan
갚,U+AC1A,1,horizontal,horizontal_jong,0,0.12615966796875,0.6690673828125,0.1292724609375,nan,nan
갛,U+AC1B,1,horizontal,horizontal_jong,0,0.12554931640625,0.73638916015625,0.12030029296875,nan,nan
개,U+AC1C,0,horizontal,horizontal_noJong,0,0.1234130859375,0.67547607421875,0.11700439453125,nan,nan
객,U+AC1D,1,horizontal,horizontal_jong,0,0.12646484375,0.6640625,0.1295166015625,nan,nan
갞,U+AC1E,1,horizontal,horizontal_jong,0,0.12774658203125,0.6666259765625,0.1341552734375,nan,nan
갟,U+AC1F,1,horizontal,horizontal_jong,0,0.1363525390625,0.6484375,0.13128662109375,nan,nan
갠,U+AC20,1,horizontal,horizontal_jong,0,0.129150390625,0.65625,0.12506103515625,nan,nan
갡,U+AC21,1,horizontal,horizontal_jong,0,0.14862060546875,0.6690673828125,0.15008544921875,nan,nan
갢,U+AC22,1,horizontal,horizontal_jong,0,0.14715576171875,0.75189208984375,0.15380859375,nan,nan
갣,U+AC23,1,horizontal,horizontal_jong,0,0.129150390625,0.625,0.1339111328125,nan,nan
갤,U+AC24,1,horizontal,horizontal_jong,0,0.14471435546875,0.65625,0.1549072265625,nan,nan
갥,U+AC25,1,horizontal,horizontal_jong,0,0.14202880859375,0.765625,0.15234375,nan,nan
갦,U+AC26,1,horizontal,horizontal_jong,0,0.1514892578125,0.6796875,0.1781005859375,nan,nan
갧,U+AC27,1,horizontal,horizontal_jong,0,0.1536865234375,0.671875,0.17559814453125,nan,nan
갨,U+AC28,1,horizontal,horizontal_jong,0,0.156005859375,0.6640625,0.15924072265625,nan,nan
갩,U+AC29,1,horizontal,horizontal_jong,0,0.1416015625,0.6953125,0.15997314453125,nan,nan
갪,U+AC2A,1,horizontal,horizontal_jong,0,0.14837646484375,0.6953125,0.1591796875,nan,nan
갫,U+AC2B,1,horizontal,horizontal_jong,0,0.16461181640625,0.6328125,0.16131591796875,nan,nan
갬,U+AC2C,1,horizontal,horizontal_jong,0,0.115966796875,0.69427490234375,0.126708984375,nan,nan
갭,U+AC2D,1,horizontal,horizontal_jong,0,0.12469482421875,0.6796875,0.12994384765625,nan,nan
갮,U+AC2E,1,horizontal,horizontal_jong,0,0.14788818359375,0.8216552734375,0.15234375,nan,nan
갯,U+AC2F,1,horizontal,horizontal_jong,0,0.12054443359375,0.671875,0.1265869140625,nan,nan
갰,U+AC30,1,horizontal,horizontal_jong,0,0.148681640625,0.6875,0.1422119140625,nan,nan
갱,U+AC31,1,horizontal,horizontal_jong,0,0.12799072265625,0.52392578125,0.09521484375,nan,nan
갲,U+AC32,1,horizontal,horizontal_jong,0,0.12615966796875,0.673583984375,0.1290283203125,nan,nan
갳,U+AC33,1,horizontal,horizontal_jong,0,0.12762451171875,0.78125,0.13421630859375,nan,nan
갴,U+AC34,1,horizontal,horizontal_jong,0,0.12969970703125,0.6328125,0.146240234375,nan,nan
갵,U+AC35,1,horizontal,horizontal_jong,0,0.15167236328125,0.6796875,0.14862060546875,nan,nan
갶,U+AC36,1,horizontal,horizontal_jong,0,0.15631103515625,0.78125,0.15496826171875,nan,nan
갷,U+AC37,1,horizontal,horizontal_jong,0,0.11865234375,0.597900390625,0.12457275390625,nan,nan
갸,U+AC38,0,horizontal,horizontal_noJong,0,0.079345703125,0.7828369140625,0.090576171875,nan,nan
갹,U+AC39,1,horizontal,horizontal_jong,0,0.1107177734375,0.796875,0.10321044921875,nan,nan
갺,U+AC3A,1,horizontal,horizontal_jong,0,0.11029052734375,0.68316650390625,0.105712890625,nan,nan
갻,U+AC3B,1,horizontal,horizontal_jong,0,0.1259765625,0.690673828125,0.12823486328125,nan,nan
갼,U+AC3C,1,horizontal,horizontal_jong,0,0.1121826171875,0.7767333984375,0.108154296875,nan,nan
갽,U+AC3D,1,horizontal,horizontal_jong,0,0.123779296875,0.65313720703125,0.1171875,nan,nan
갾,U+AC3E,1,horizontal,horizontal_jong,0,0.1429443359375,0.7734375,0.1328125,nan,nan
갿,U+AC3F,1,horizontal,horizontal_jong,0,0.11456298828125,0.6953125,0.11053466796875,nan,nan
걀,U+AC40,1,horizontal,horizontal_jong,0,0.13201904296875,0.6953125,0.13104248046875,nan,nan
걁,U+AC41,1,horizontal,horizontal_jong,0,0.13262939453125,0.6953125,0.1300048828125,nan,nan
걂,U+AC42,1,horizontal,horizontal_jong,0,0.13775634765625,0.6844482421875,0.14874267578125,nan,nan
걃,U+AC43,1,horizontal,horizontal_jong,0,0.14654541015625,0.71142578125,0.14910888671875,nan,nan
걄,U+AC44,1,horizontal,horizontal_jong,0,0.15313720703125,0.734375,0.13970947265625,nan,nan
걅,U+AC45,1,horizontal,horizontal_jong,0,0.1431884765625,0.703125,0.14141845703125,nan,nan
걆,U+AC46,1,horizontal,horizontal_jong,0,0.139404296875,0.6844482421875,0.13934326171875,nan,nan
걇,U+AC47,1,horizontal,horizontal_jong,0,0.15380859375,0.71875,0.14776611328125,nan,nan
걈,U+AC48,1,horizontal,horizontal_jong,0,0.13092041015625,0.6627197265625,0.11297607421875,nan,nan
걉,U+AC49,1,horizontal,horizontal_jong,0,0.1192626953125,0.6925048828125,0.12164306640625,nan,nan
걊,U+AC4A,1,horizontal,horizontal_jong,0,0.13519287109375,0.703125,0.137451171875,nan,nan
걋,U+AC4B,1,horizontal,horizontal_jong,0,0.1138916015625,0.732421875,0.10821533203125,nan,nan
걌,U+AC4C,1,horizontal,horizontal_jong,0,0.135009765625,0.75,0.124755859375,nan,nan
걍,U+AC4D,1,horizontal,horizontal_jong,0,0.1201171875,0.64990234375,0.11114501953125,nan,nan
걎,U+AC4E,1,horizontal,horizontal_jong,0,0.1275634765625,0.64990234375,0.109375,nan,nan
걏,U+AC4F,1,horizontal,horizontal_jong,0,0.12451171875,0.71875,0.12109375,nan,nan
걐,U+AC50,1,horizontal,horizontal_jong,0,0.10821533203125,0.673583984375,0.108154296875,nan,nan
걑,U+AC51,1,horizontal,horizontal_jong,0,0.12860107421875,0.6690673828125,0.11651611328125,nan,nan
걒,U+AC52,1,horizontal,horizontal_jong,0,0.13677978515625,0.7265625,0.13519287109375,nan,nan
걓,U+AC53,1,horizontal,horizontal_jong,0,0.12860107421875,0.734375,0.11761474609375,nan,nan
걔,U+AC54,0,horizontal,horizontal_noJong,0,0.1290283203125,0.669921875,0.12237548828125,nan,nan
걕,U+AC55,1,horizontal,horizontal_jong,0,0.12420654296875,0.6953125,0.13134765625,nan,nan
걖,U+AC56,1,horizontal,horizontal_jong,0,0.13482666015625,0.66815185546875,0.1387939453125,nan,nan
걗,U+AC57,1,horizontal,horizontal_jong,0,0.13525390625,0.7734375,0.1416015625,nan,nan
걘,U+AC58,1,horizontal,horizontal_jong,0,0.1263427734375,0.7734375,0.1475830078125,nan,nan
걙,U+AC59,1,horizontal,horizontal_jong,0,0.156005859375,0.71875,0.16650390625,nan,nan
걚,U+AC5A,1,horizontal,horizontal_jong,0,0.1549072265625,0.7734375,0.15789794921875,nan,nan
걛,U+AC5B,1,horizontal,horizontal_jong,0,0.14581298828125,0.734375,0.15142822265625,nan,nan
걜,U+AC5C,1,horizontal,horizontal_jong,1,0.171142578125,0.703125,0.174072265625,23.66414506790536,0.9471788750182384
걝,U+AC5D,1,horizontal,horizontal_jong,0,0.14483642578125,0.7734375,0.16107177734375,nan,nan
걞,U+AC5E,1,horizontal,horizontal_jong,0,0.1600341796875,0.7265625,0.17840576171875,nan,nan
걟,U+AC5F,1,horizontal,horizontal_jong,0,0.1549072265625,0.6953125,0.16680908203125,nan,nan
걠,U+AC60,1,horizontal,horizontal_jong,0,0.14801025390625,0.6875,0.16217041015625,nan,nan
걡,U+AC61,1,horizontal,horizontal_jong,0,0.14874267578125,0.78125,0.1756591796875,nan,nan
걢,U+AC62,1,horizontal,horizontal_jong,0,0.14739990234375,0.71875,0.16851806640625,nan,nan
걣,U+AC63,1,horizontal,horizontal_jong,0,0.160888671875,0.6953125,0.173828125,nan,nan
걤,U+AC64,1,horizontal,horizontal_jong,0,0.15045166015625,0.8359375,0.15478515625,nan,nan
걥,U+AC65,1,horizontal,horizontal_jong,0,0.135009765625,0.765625,0.1416015625,nan,nan
걦,U+AC66,1,horizontal,horizontal_jong,0,0.1651611328125,0.7109375,0.15338134765625,nan,nan
걧,U+AC67,1,horizontal,horizontal_jong,0,0.122802734375,0.6591796875,0.1280517578125,nan,nan
걨,U+AC68,1,horizontal,horizontal_jong,0,0.148193359375,0.6953125,0.1416015625,nan,nan
걩,U+AC69,1,horizontal,horizontal_jong,0,0.15234375,0.65625,0.12481689453125,nan,nan
걪,U+AC6A,1,horizontal,horizontal_jong,0,0.12841796875,0.8203125,0.13885498046875,nan,nan
걫,U+AC6B,1,horizontal,horizontal_jong,0,0.1348876953125,0.8125,0.14715576171875,nan,nan
걬,U+AC6C,1,horizontal,horizontal_jong,0,0.14556884765625,0.75,0.16650390625,nan,nan
걭,U+AC6D,1,horizontal,horizontal_jong,0,0.166259765625,0.68988037109375,0.1629638671875,nan,nan
걮,U+AC6E,1,horizontal,horizontal_jong,0,0.1553955078125,0.8515625,0.16766357421875,nan,nan
걯,U+AC6F,1,horizontal,horizontal_jong,0,0.1478271484375,0.65625,0.13397216796875,nan,nan
거,U+AC70,0,horizontal,horizontal_noJong,0,0.09295654296875,0.5380859375,0.0877685546875,nan,nan
걱,U+AC71,1,horizontal,horizontal_jong,0,0.11871337890625,0.6103515625,0.10125732421875,nan,nan
걲,U+AC72,1,horizontal,horizontal_jong,0,0.12762451171875,0.6031494140625,0.109130859375,nan,nan
걳,U+AC73,1,horizontal,horizontal_jong,0,0.121826171875,0.65625,0.11334228515625,nan,nan
건,U+AC74,1,horizontal,horizontal_jong,0,0.10797119140625,0.796875,0.09613037109375,nan,nan
걵,U+AC75,1,horizontal,horizontal_jong,0,0.125,0.7421875,0.1280517578125,nan,nan
걶,U+AC76,1,horizontal,horizontal_jong,0,0.13446044921875,0.6796875,0.129150390625,nan,nan
걷,U+AC77,1,horizontal,horizontal_jong,0,0.11822509765625,0.625,0.111572265625,nan,nan
걸,U+AC78,1,horizontal,horizontal_jong,0,0.14276123046875,0.6015625,0.137939453125,nan,nan
걹,U+AC79,1,horizontal,horizontal_jong,0,0.14208984375,0.78125,0.15374755859375,nan,nan
걺,U+AC7A,1,horizontal,horizontal_jong,0,0.167724609375,0.703125,0.16900634765625,nan,nan
걻,U+AC7B,1,horizontal,horizontal_jong,0,0.15228271484375,0.6201171875,0.15594482421875,nan,nan
걼,U+AC7C,1,horizontal,horizontal_jong,0,0.1505126953125,0.7421875,0.1427001953125,nan,nan
걽,U+AC7D,1,horizontal,horizontal_jong,0,0.1563720703125,0.734375,0.15667724609375,nan,nan
걾,U+AC7E,1,horizontal,horizontal_jong,0,0.16107177734375,0.7109375,0.16253662109375,nan,nan
걿,U+AC7F,1,horizontal,horizontal_jong,0,0.18048095703125,0.65625,0.1661376953125,nan,nan
검,U+AC80,1,horizontal,horizontal_jong,0,0.13482666015625,0.6171875,0.1142578125,nan,nan
겁,U+AC81,1,horizontal,horizontal_jong,0,0.12249755859375,0.59375,0.11383056640625,nan,nan
겂,U+AC82,1,horizontal,horizontal_jong,0,0.1268310546875,0.6484375,0.13177490234375,nan,nan
것,U+AC83,1,horizontal,horizontal_jong,0,0.1209716796875,0.6103515625,0.10394287109375,nan,nan
겄,U+AC84,1,horizontal,horizontal_jong,0,0.130615234375,0.671875,0.12060546875,nan,nan
겅,U+AC85,1,horizontal,horizontal_jong,0,0.1287841796875,0.556640625,0.08843994140625,nan,nan
겆,U+AC86,1,horizontal,horizontal_jong,0,0.1221923828125,0.6103515625,0.109130859375,nan,nan
겇,U+AC87,1,horizontal,horizontal_jong,0,0.117431640625,0.6171875,0.12396240234375,nan,nan
겈,U+AC88,1,horizontal,horizontal_jong,0,0.115478515625,0.5767822265625,0.109619140625,nan,nan
겉,U+AC89,1,horizontal,horizontal_jong,0,0.147705078125,0.5703125,0.1278076171875,nan,nan
겊,U+AC8A,1,horizontal,horizontal_jong,0,0.12530517578125,0.6796875,0.13787841796875,nan,nan
겋,U+AC8B,1,horizontal,horizontal_jong,0,0.1190185546875,0.744140625,0.10333251953125,nan,nan
게,U+AC8C,0,horizontal,horizontal_noJong,0,0.105712890625,0.59619140625,0.105712890625,nan,nan
겍,U+AC8D,1,horizontal,horizontal_jong,0,0.10980224609375,0.6075439453125,0.11639404296875,nan,nan
겎,U+AC8E,1,horizontal,horizontal_jong,0,0.13671875,0.625,0.13214111328125,nan,nan
겏,U+AC8F,1,horizontal,horizontal_jong,0,0.1346435546875,0.734375,0.135009765625,nan,nan
겐,U+AC90,1,horizontal,horizontal_jong,0,0.12615966796875,0.6953125,0.12982177734375,nan,nan
겑,U+AC91,1,horizontal,horizontal_jong,0,0.155029296875,0.744140625,0.15185546875,nan,nan
겒,U+AC92,1,horizontal,horizontal_jong,0,0.15985107421875,0.6953125,0.1605224609375,nan,nan
겓,U+AC93,1,horizontal,horizontal_jong,0,0.1346435546875,0.613037109375,0.130126953125,nan,nan
겔,U+AC94,1,horizontal,horizontal_jong,0,0.161376953125,0.609375,0.143798828125,nan,nan
겕,U+AC95,1,horizontal,horizontal_jong,0,0.14434814453125,0.6171875,0.1624755859375,nan,nan
겖,U+AC96,1,horizontal,horizontal_jong,0,0.15130615234375,0.70538330078125,0.18011474609375,nan,nan
겗,U+AC97,1,horizontal,horizontal_jong,0,0.15234375,0.6171875,0.17620849609375,nan,nan
겘,U+AC98,1,horizontal,horizontal_jong,0,0.16778564453125,0.734375,0.16595458984375,nan,nan
겙,U+AC99,1,horizontal,horizontal_jong,0,0.14691162109375,0.859375,0.16949462890625,nan,nan
겚,U+AC9A,1,horizontal,horizontal_jong,0,0.14898681640625,0.734375,0.167236328125,nan,nan
겛,U+AC9B,1,horizontal,horizontal_jong,0,0.18914794921875,0.6484375,0.16986083984375,nan,nan
겜,U+AC9C,1,horizontal,horizontal_jong,0,0.14288330078125,0.855224609375,0.14990234375,nan,nan
겝,U+AC9D,1,horizontal,horizontal_jong,0,0.13250732421875,0.54986572265625,0.12603759765625,nan,nan
겞,U+AC9E,1,horizontal,horizontal_jong,0,0.1490478515625,0.7781982421875,0.154541015625,nan,nan
겟,U+AC9F,1,horizontal,horizontal_jong,0,0.1427001953125,0.6456298828125,0.123779296875,nan,nan
겠,U+ACA0,1,horizontal,horizontal_jong,0,0.149658203125,0.67437744140625,0.14141845703125,nan,nan
겡,U+ACA1,1,horizontal,horizontal_jong,0,0.16119384765625,0.7109375,0.1217041015625,nan,nan
겢,U+ACA2,1,horizontal,horizontal_jong,0,0.1444091796875,0.65625,0.139404296875,nan,nan
겣,U+ACA3,1,horizontal,horizontal_jong,0,0.14044189453125,0.640625,0.139892578125,nan,nan
겤,U+ACA4,1,horizontal,horizontal_jong,0,0.1124267578125,0.65887451171875,0.14056396484375,nan,nan
겥,U+ACA5,1,horizontal,horizontal_jong,0,0.153564453125,0.76904296875,0.14776611328125,nan,nan
겦,U+ACA6,1,horizontal,horizontal_jong,0,0.155517578125,0.671875,0.1534423828125,nan,nan
겧,U+ACA7,1,horizontal,horizontal_jong,0,0.13702392578125,0.6015625,0.115234375,nan,nan
겨,U+ACA8,0,horizontal,horizontal_noJong,1,0.10223388671875,0.7921142578125,0.093994140625,25.641364354124732,0.9669133904624323
격,U+ACA9,1,horizontal,horizontal_jong,0,0.11920166015625,0.65625,0.120361328125,nan,nan
겪,U+ACAA,1,horizontal,horizontal_jong,0,0.1246337890625,0.703125,0.12579345703125,nan,nan
겫,U+ACAB,1,horizontal,horizontal_jong,0,0.12841796875,0.6976318359375,0.12750244140625,nan,nan
견,U+ACAC,1,horizontal,horizontal_jong,0,0.1041259765625,0.6640625,0.09942626953125,nan,nan
겭,U+ACAD,1,horizontal,horizontal_jong,0,0.141845703125,0.73638916015625,0.13800048828125,nan,nan
겮,U+ACAE,1,horizontal,horizontal_jong,0,0.130615234375,0.7109375,0.1392822265625,nan,nan
겯,U+ACAF,1,horizontal,horizontal_jong,0,0.11260986328125,0.734375,0.12530517578125,nan,nan
결,U+ACB0,1,horizontal,horizontal_jong,0,0.1474609375,0.65625,0.14337158203125,nan,nan
겱,U+ACB1,1,horizontal,horizontal_jong,0,0.14678955078125,0.6875,0.14825439453125,nan,nan
겲,U+ACB2,1,horizontal,horizontal_jong,0,0.1549072265625,0.8046875,0.1571044921875,nan,nan
겳,U+ACB3,1,horizontal,horizontal_jong,0,0.149658203125,0.6875,0.1639404296875,nan,nan
겴,U+ACB4,1,horizontal,horizontal_jong,0,0.16156005859375,0.734375,0.15496826171875,nan,nan
겵,U+ACB5,1,horizontal,horizontal_jong,0,0.15020751953125,0.765625,0.1640625,nan,nan
겶,U+ACB6,1,horizontal,horizontal_jong,0,0.13421630859375,0.6796875,0.14593505859375,nan,nan
겷,U+ACB7,1,horizontal,horizontal_jong,0,0.148681640625,0.65625,0.159423828125,nan,nan
겸,U+ACB8,1,horizontal,horizontal_jong,0,0.126953125,0.65887451171875,0.1241455078125,nan,nan
겹,U+ACB9,1,horizontal,horizontal_jong,0,0.13787841796875,0.6953125,0.12982177734375,nan,nan
겺,U+ACBA,1,horizontal,horizontal_jong,0,0.130615234375,0.6953125,0.13677978515625,nan,nan
겻,U+ACBB,1,horizontal,horizontal_jong,0,0.1236572265625,0.7906494140625,0.1146240234375,nan,nan
겼,U+ACBC,1,horizontal,horizontal_jong,0,0.1390380859375,0.713134765625,0.129638671875,nan,nan
경,U+ACBD,1,horizontal,horizontal_jong,0,0.1492919921875,0.703125,0.10125732421875,nan,nan
겾,U+ACBE,1,horizontal,horizontal_jong,0,0.13128662109375,0.6640625,0.12481689453125,nan,nan
겿,U+ACBF,1,horizontal,horizontal_jong,0,0.14495849609375,0.78125,0.139892578125,nan,nan
곀,U+ACC0,1,horizontal,horizontal_jong,0,0.12939453125,0.71875,0.12396240234375,nan,nan
곁,U+ACC1,1,horizontal,horizontal_jong,0,0.14373779296875,0.7459716796875,0.14923095703125,nan,nan
곂,U+ACC2,1,horizontal,horizontal_jong,0,0.13531494140625,0.6953125,0.1396484375,nan,nan
곃,U+ACC3,1,horizontal,horizontal_jong,0,0.133544921875,0.625,0.1295166015625,nan,nan
계,U+ACC4,0,horizontal,horizontal_noJong,0,0.10791015625,0.68084716796875,0.10992431640625,nan,nan
곅,U+ACC5,1,horizontal,horizontal_jong,0,0.129638671875,0.703125,0.12835693359375,nan,nan
곆,U+ACC6,1,horizontal,horizontal_jong,0,0.13800048828125,0.7421875,0.13641357421875,nan,nan
곇,U+ACC7,1,horizontal,horizontal_jong,0,0.13555908203125,0.68988037109375,0.14471435546875,nan,nan
